指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2010/8/26,,4251.34 ,632,
2010/8/27,119.35,4263.74 ,,
2010/8/30,,4327.29 ,,
2010/8/31,,4311.13 ,,
2010/9/1,,4350.10 ,,
2010/9/2,,4385.33 ,644,
2010/9/3,119.15,4365.23 ,,
2010/9/6,,4584.72 ,,
2010/9/7,,4570.56 ,,
2010/9/8,,4543.35 ,,
2010/9/9,,4446.56 ,,
2010/9/10,127.22,4499.81 ,663,
2010/9/13,,4488.58 ,,
2010/9/14,,4427.23 ,,
2010/9/15,,4425.05 ,,
2010/9/16,,4374.97 ,,
2010/9/17,127,4371.47 ,648,
2010/9/20,,4389.13 ,,
2010/9/21,,4333.41 ,648,
2010/9/24,124.01,,,
2010/9/27,,4279.97 ,,
2010/9/28,,4277.43 ,,
2010/9/29,,4269.40 ,641,
2010/9/30,122.55,4291.78 ,,
2010/10/8,,4324.00 ,,
2010/10/9,122.49,,655,
2010/10/11,,4413.58 ,,
2010/10/12,,4378.55 ,,
2010/10/13,,4426.99 ,,
2010/10/14,,4400.58 ,655,
2010/10/15,122.49,4429.46 ,,
2010/10/18,,4459.83 ,,
2010/10/19,,4433.10 ,,
2010/10/20,,4376.61 ,,
2010/10/21,,4383.47 ,,
2010/10/22,122.49,4370.42 ,655,
2010/10/25,,4464.08 ,,
2010/10/26,,4434.64 ,,
2010/10/27,,4448.08 ,,
2010/10/28,,4465.84 ,655,
2010/10/29,122.61,4466.18 ,,
2010/11/1,,4515.97 ,,
2010/11/2,,4507.58 ,,
2010/11/3,,4518.52 ,,
2010/11/4,,4577.43 ,,
2010/11/5,123.2,4685.96 ,659,
2010/11/8,,4686.17 ,,
2010/11/9,,4832.51 ,,
2010/11/10,,4751.88 ,,
2010/11/11,,4774.60 ,662,
2010/11/12,128.25,4625.25 ,,
2010/11/15,,4653.47 ,,
2010/11/16,,4634.84 ,,
2010/11/17,,4541.72 ,,
2010/11/18,,4602.46 ,,
2010/11/19,128.56,4636.76 ,662,
2010/11/22,,4638.84 ,,
2010/11/23,,4604.26 ,,
2010/11/24,,4690.51 ,,
2010/11/25,,4681.00 ,,
2010/11/26,129.76,4649.71 ,662,
2010/11/29,,4668.11 ,,
2010/11/30,,4638.94 ,,
